-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/31/2023 in LST
Location: latitude  24.8607   longitude 67.0099 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PS              MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,RH2M,WS2M,T2M,PS,PRECTOTCORR
2010,5,19,69.56,3.86,31.55,99.73,0.0
2010,5,20,71.6,3.27,31.8,99.58,0.0
2010,5,21,72.54,3.95,31.41,99.59,0.0
2010,5,22,76.25,4.27,30.83,99.61,0.0
2010,5,23,76.38,4.91,30.68,99.63,0.0
2010,5,24,78.45,6.19,30.33,99.55,0.0
2010,5,25,77.82,7.46,30.28,99.46,0.0
2010,5,26,78.75,8.15,30.23,99.41,0.0
2010,5,27,78.33,8.28,30.15,99.4,0.0
2010,5,28,74.05,7.34,30.49,99.54,0.0
2010,5,29,70.25,6.33,30.06,99.7,0.0
2010,5,30,73.94,5.23,30.08,99.72,0.0
2010,5,31,76.3,4.72,29.77,99.8,0.0
2010,6,1,73.7,4.44,29.74,99.83,0.0
2010,6,2,76.83,3.48,29.74,99.97,0.01
2010,6,3,71.23,4.99,30.48,100.15,0.0
2010,6,4,72.64,6.24,30.36,100.14,0.15
2010,6,5,77.58,5.11,29.77,99.94,14.45
2010,6,6,83.57,4.73,29.04,99.21,59.22
2010,6,7,77.9,4.61,28.88,99.56,1.15
2010,6,8,77.47,3.96,29.04,99.85,1.76
2010,6,9,76.64,4.26,29.23,99.79,0.89
2010,6,10,75.74,4.21,29.33,99.8,0.3
2010,6,11,75.02,4.03,29.48,99.72,0.0
2010,6,12,77.13,4.67,29.4,99.56,0.0
2010,6,13,76.92,5.13,29.38,99.43,0.02
2010,6,14,78.71,5.65,29.3,99.35,0.01
2010,6,15,76.65,3.93,29.69,99.43,0.0
2010,6,16,76.45,3.58,29.34,99.49,0.0
2010,6,17,78.27,4.65,29.43,99.56,0.0
2010,6,18,76.91,4.52,29.65,99.72,0.0
2010,6,19,76.51,4.65,29.75,99.71,0.0
2010,6,20,79.44,5.25,29.68,99.63,0.0
2010,6,21,79.93,5.51,30.08,99.6,0.0
2010,6,22,81.72,6.64,29.86,99.48,0.0
2010,6,23,80.33,6.41,29.86,99.39,0.0
2010,6,24,79.34,4.99,30.01,99.11,0.0
2010,6,25,77.72,4.56,30.1,99.13,0.4
2010,6,26,78.18,4.21,29.7,99.27,0.04
2010,6,27,78.05,5.26,29.45,99.36,0.5
2010,6,28,81.2,6.11,29.21,99.24,5.79
2010,6,29,78.9,5.57,29.51,99.15,0.08
2010,6,30,80.21,4.95,29.61,99.18,0.03
2010,7,1,75.04,3.89,29.83,99.2,0.01
2010,7,2,74.5,3.7,30.14,99.37,0.02
2010,7,3,72.86,3.15,30.48,99.49,0.01
2010,7,4,74.65,4.28,30.49,99.32,0.07
2010,7,5,83.14,3.61,30.0,99.29,2.29
2010,7,6,81.22,1.98,29.48,99.42,2.03
2010,7,7,72.02,1.43,31.17,99.51,1.96
2010,7,8,74.16,3.28,31.41,99.62,3.95
2010,7,9,75.88,3.33,30.83,99.66,0.94
2010,7,10,78.12,6.47,30.38,99.59,0.49
2010,7,11,76.34,8.26,29.81,99.59,0.23
2010,7,12,78.51,8.22,29.72,99.25,0.01
2010,7,13,79.91,6.08,30.01,99.39,0.77
2010,7,14,77.86,4.55,29.65,99.71,0.38
2010,7,15,75.64,4.86,29.65,99.72,0.0
2010,7,16,74.46,4.3,29.97,99.45,0.0
2010,7,17,75.21,3.15,30.13,99.32,0.0
2010,7,18,78.22,4.18,30.12,99.35,0.0
2010,7,19,79.58,5.01,30.11,99.1,0.0
2010,7,20,77.08,4.58,30.71,99.04,0.03
2010,7,21,76.17,3.73,30.85,99.18,0.01
2010,7,22,74.71,4.86,30.56,99.21,0.07
2010,7,23,77.61,3.5,29.43,99.37,0.07
2010,7,24,76.34,5.89,29.28,99.27,0.01
2010,7,25,74.08,6.11,29.3,99.09,0.23
2010,7,26,79.84,5.08,28.56,99.1,6.51
2010,7,27,87.23,4.84,28.3,99.0,33.45
2010,7,28,81.22,2.72,29.77,99.02,16.33
2010,7,29,77.75,3.15,29.78,99.22,3.53
2010,7,30,74.02,2.11,30.62,99.37,0.7
2010,7,31,74.76,2.34,30.48,99.47,0.39
2010,8,1,80.91,4.3,29.12,99.53,3.61
2010,8,2,81.92,4.13,28.77,99.4,1.83
2010,8,3,78.87,3.65,28.84,99.26,0.27
2010,8,4,77.2,3.15,29.12,99.21,0.08
2010,8,5,77.16,3.5,28.79,99.5,0.08
2010,8,6,73.92,4.62,28.01,99.75,4.67
2010,8,7,78.27,3.43,29.16,99.59,0.95
2010,8,8,83.43,3.71,28.34,99.49,10.36
2010,8,9,84.87,3.28,27.87,99.53,3.27
2010,8,10,81.46,3.31,29.15,99.59,0.07
2010,8,11,79.96,4.35,29.2,99.65,0.0
2010,8,12,78.29,4.51,29.02,99.63,0.0
2010,8,13,77.93,3.73,28.79,99.61,0.0
2010,8,14,81.47,3.1,28.31,99.53,0.1
2010,8,15,80.54,3.51,28.27,99.61,1.42
2010,8,16,79.53,3.21,28.72,99.7,2.09
2010,8,17,77.73,4.64,28.62,99.55,0.0
2010,8,18,78.25,5.04,28.59,99.46,0.14
2010,8,19,78.71,4.18,28.63,99.65,0.53
2010,8,20,81.26,4.33,28.77,99.88,0.13
2010,8,21,81.98,5.34,28.16,99.79,0.05
2010,8,22,82.99,5.92,28.05,99.67,0.01
2010,8,23,80.55,6.41,28.47,99.61,0.2
2010,8,24,80.23,5.83,28.38,99.38,0.38
2010,8,25,79.79,3.79,28.19,99.43,0.09
2010,8,26,75.79,2.54,28.66,99.7,0.07
2010,8,27,71.56,2.65,29.94,99.74,0.01
2010,8,28,73.87,3.51,29.88,99.65,0.01
2010,8,29,78.73,4.44,29.15,99.65,0.01
2010,8,30,81.24,5.11,28.53,99.44,0.07
2010,8,31,79.76,3.76,28.85,99.38,0.24
2010,9,1,81.44,3.02,28.33,99.62,2.82
2010,9,2,79.4,2.79,29.04,99.7,1.0
2010,9,3,82.18,4.26,28.54,99.61,0.07
2010,9,4,78.19,4.5,28.54,99.5,0.07
2010,9,5,75.86,3.76,28.76,99.64,0.04
2010,9,6,77.12,4.05,28.34,99.68,0.04
2010,9,7,77.76,4.18,28.14,99.55,0.09
2010,9,8,76.25,3.51,28.36,99.6,1.29
2010,9,9,78.55,3.22,28.72,99.65,8.32
2010,9,10,79.5,2.82,29.06,99.49,22.18
2010,9,11,80.68,3.4,28.16,99.62,4.28
2010,9,12,77.68,4.02,28.19,99.75,0.03
2010,9,13,78.65,3.69,27.72,99.75,0.0
2010,9,14,78.31,2.68,27.96,99.68,0.14
2010,9,15,70.77,2.2,27.87,99.84,0.09
2010,9,16,77.06,3.5,27.09,99.92,0.0
2010,9,17,78.69,4.17,26.97,99.83,0.0
2010,9,18,64.34,1.96,28.05,99.62,0.0
2010,9,19,55.09,2.05,28.84,99.85,0.0
2010,9,20,58.24,2.03,28.9,100.01,0.0
2010,9,21,65.98,2.71,27.8,100.16,0.0
2010,9,22,74.07,3.99,26.62,100.16,0.28
2010,9,23,71.58,3.57,27.22,99.96,1.13
2010,9,24,71.04,3.07,27.24,100.02,0.0
2010,9,25,75.82,2.91,26.91,100.25,0.0
2010,9,26,74.64,2.55,26.82,100.4,0.0
2010,9,27,68.28,1.91,27.4,100.42,0.0
2010,9,28,64.72,2.3,27.64,100.4,0.0
2010,9,29,68.05,2.65,27.98,100.38,0.0
2010,9,30,68.29,2.79,28.85,100.37,0.0
2010,10,1,64.23,2.22,28.79,100.29,0.0
2010,10,2,55.98,2.21,29.55,100.22,0.0
2010,10,3,66.17,2.42,29.08,100.19,0.0
2010,10,4,69.17,2.65,28.59,100.16,0.0
2010,10,5,72.02,2.8,28.37,100.05,0.0
2010,10,6,71.23,2.64,28.35,100.03,0.0
2010,10,7,76.26,3.11,28.11,100.04,0.0
2010,10,8,77.1,2.79,27.95,99.98,0.0
2010,10,9,77.46,3.6,27.64,99.8,0.0
2010,10,10,71.14,2.65,28.28,99.63,0.0
2010,10,11,74.28,2.72,27.73,99.97,0.0
2010,10,12,67.41,2.27,28.05,100.39,0.0
2010,10,13,68.89,2.76,27.97,100.49,0.0
2010,10,14,73.8,3.45,27.41,100.33,0.0
2010,10,15,74.87,3.34,27.53,100.31,0.0
2010,10,16,78.72,3.11,27.45,100.22,0.0
2010,10,17,76.43,2.74,27.72,100.1,0.0
2010,10,18,69.24,2.46,28.75,100.15,0.0
2010,10,19,52.71,1.45,30.02,100.18,0.0
2010,10,20,49.12,2.02,30.12,100.18,0.0
2010,10,21,66.65,2.73,28.44,99.92,0.0
2010,10,22,67.62,2.63,27.84,99.6,0.0
2010,10,23,73.6,2.63,27.09,99.89,0.0
2010,10,24,66.74,1.63,27.11,100.21,0.0
2010,10,25,69.69,2.37,26.31,100.43,0.0
2010,10,26,70.18,2.51,26.27,100.59,0.0
2010,10,27,62.58,2.16,26.42,100.67,0.0
2010,10,28,63.13,2.51,26.33,100.65,0.01
2010,10,29,66.34,2.3,26.69,100.66,0.12
2010,10,30,66.79,2.03,26.99,100.88,0.01
2010,10,31,50.95,2.46,27.77,100.95,0.0
2010,11,1,60.74,1.59,26.85,100.69,0.0
2010,11,2,49.57,1.78,27.34,100.65,0.0
2010,11,3,45.07,1.89,27.38,100.83,0.0
2010,11,4,56.02,1.77,26.53,100.73,0.0
2010,11,5,66.55,2.19,26.16,100.67,0.0
2010,11,6,56.12,1.56,26.88,100.56,0.0
2010,11,7,34.86,2.48,27.42,100.65,0.0
2010,11,8,35.64,3.64,26.72,100.74,0.0
2010,11,9,35.41,3.94,26.44,100.87,0.0
2010,11,10,35.13,2.85,27.12,100.77,0.0
2010,11,11,47.38,1.5,27.02,100.47,0.04
2010,11,12,56.26,1.78,26.1,100.21,0.0
2010,11,13,48.22,1.81,26.05,100.27,0.0
2010,11,14,39.69,2.38,25.99,100.71,0.01
2010,11,15,38.95,2.66,25.76,100.91,0.03
2010,11,16,41.63,2.44,24.47,100.71,0.01
2010,11,17,42.81,1.99,24.24,100.7,0.0
2010,11,18,32.08,2.47,24.61,100.78,0.0
2010,11,19,37.73,1.96,24.71,100.76,0.0
2010,11,20,53.65,1.77,23.97,100.51,0.0
2010,11,21,55.72,1.95,23.89,100.35,0.09
2010,11,22,54.3,1.39,24.51,100.31,0.58
2010,11,23,43.7,3.16,23.04,100.48,0.28
2010,11,24,36.08,2.63,22.67,100.69,0.0
2010,11,25,47.32,1.98,23.06,100.83,0.0
2010,11,26,53.88,1.86,23.07,100.75,0.0
2010,11,27,48.54,1.87,22.79,100.63,0.0
2010,11,28,45.16,1.22,23.04,100.75,0.0
2010,11,29,33.0,1.84,22.7,100.91,0.0
2010,11,30,43.26,2.16,21.95,100.8,0.0
2010,12,1,40.77,1.25,22.09,100.63,0.0
2010,12,2,26.81,2.12,21.65,100.81,0.0
2010,12,3,30.48,2.46,21.35,100.92,0.0
2010,12,4,31.28,1.53,21.5,100.76,0.0
2010,12,5,27.62,2.27,20.87,100.61,0.0
2010,12,6,27.79,2.67,20.68,100.69,0.0
2010,12,7,31.19,2.41,20.23,100.83,0.0
2010,12,8,37.69,2.22,20.17,100.73,0.0
2010,12,9,30.06,1.57,19.8,100.62,0.0
2010,12,10,39.47,2.2,19.23,100.62,0.0
2010,12,11,46.34,1.97,19.91,100.5,0.0
2010,12,12,58.5,3.11,20.26,100.27,0.0
2010,12,13,45.59,1.66,21.48,100.41,0.0
2010,12,14,29.28,2.14,21.09,100.76,0.0
2010,12,15,44.98,1.9,20.34,100.89,0.0
2010,12,16,61.73,1.53,21.5,100.83,0.0
2010,12,17,59.38,2.01,20.82,100.88,0.0
2010,12,18,38.73,1.72,20.8,100.94,0.0
2010,12,19,23.96,2.38,20.15,101.12,0.0
2010,12,20,25.68,1.92,20.7,101.27,0.0
2010,12,21,53.14,2.6,20.1,100.9,0.0
2010,12,22,43.44,2.38,21.0,100.39,0.0
2010,12,23,32.29,2.38,19.78,100.4,0.0
2010,12,24,30.75,3.84,19.08,100.77,0.0
2010,12,25,35.33,2.45,18.66,100.82,0.0
2010,12,26,57.61,1.54,19.61,100.72,0.0
2010,12,27,37.27,2.43,18.87,100.79,0.0
2010,12,28,36.05,4.2,18.41,100.82,0.02
2010,12,29,40.16,3.1,19.52,100.82,2.36
2010,12,30,39.73,2.67,19.22,100.8,0.0
2010,12,31,27.58,1.88,17.74,100.77,0.0
2011,1,1,25.18,1.68,18.4,100.9,0.0
2011,1,2,41.09,1.82,17.94,100.88,0.0
2011,1,3,41.1,1.63,18.19,100.96,0.0
2011,1,4,30.15,2.54,17.55,101.03,0.0
2011,1,5,36.78,2.35,16.84,100.99,0.0
2011,1,6,35.06,2.08,17.23,101.07,0.0
2011,1,7,47.97,2.06,17.4,100.97,0.0
2011,1,8,58.61,1.88,18.71,100.78,0.0
2011,1,9,31.08,2.67,18.42,100.97,0.0
2011,1,10,31.63,2.13,18.84,101.03,0.0
2011,1,11,68.31,2.69,19.84,100.78,0.0
2011,1,12,74.72,3.19,21.08,100.56,0.0
2011,1,13,66.74,4.04,20.29,100.57,0.0
2011,1,14,45.23,3.39,19.26,100.7,0.0
2011,1,15,24.82,1.74,17.05,101.06,0.0
2011,1,16,26.91,2.03,17.45,101.07,0.0
2011,1,17,65.21,3.69,19.55,100.72,0.0
2011,1,18,46.7,2.43,21.24,100.72,0.0
2011,1,19,42.7,2.23,20.57,100.78,0.0
2011,1,20,56.33,1.99,20.59,100.84,0.0
2011,1,21,65.07,1.84,21.63,100.9,0.0
2011,1,22,57.63,1.96,21.83,100.96,0.0
2011,1,23,54.53,1.92,21.5,101.06,0.0
2011,1,24,57.01,2.13,20.98,101.1,0.0
2011,1,25,47.67,1.77,20.82,101.12,0.0
2011,1,26,27.16,2.54,19.75,101.37,0.0
2011,1,27,26.26,2.51,19.21,101.38,0.0
2011,1,28,56.31,2.6,19.91,101.05,0.0
2011,1,29,76.58,3.5,21.28,100.74,7.04
2011,1,30,49.56,3.63,19.6,101.11,0.02
2011,1,31,48.66,3.4,19.37,101.21,0.0
2011,2,1,43.06,1.98,20.6,101.12,0.0
2011,2,2,40.92,2.02,21.33,100.98,0.0
2011,2,3,47.71,2.13,21.26,100.9,0.0
2011,2,4,76.64,3.48,20.97,100.88,0.0
2011,2,5,75.76,3.97,20.99,100.68,0.0
2011,2,6,75.19,4.53,21.54,100.46,0.0
2011,2,7,55.84,4.28,21.77,100.44,0.0
2011,2,8,37.53,2.17,19.81,100.46,0.0
2011,2,9,35.25,2.2,20.44,100.53,0.0
2011,2,10,35.2,2.13,21.51,100.62,0.0
2011,2,11,38.59,2.62,22.03,100.67,0.0
2011,2,12,58.65,2.8,21.63,100.49,0.09
2011,2,13,75.24,3.44,20.51,100.35,1.58
2011,2,14,64.91,2.2,20.33,100.31,0.02
2011,2,15,57.18,1.69,20.35,100.46,0.6
2011,2,16,56.19,1.85,20.07,100.68,0.0
2011,2,17,60.22,2.31,20.68,100.81,0.0
2011,2,18,72.7,3.28,20.37,100.73,0.02
2011,2,19,72.32,1.97,21.27,100.9,0.01
2011,2,20,65.91,1.95,22.1,101.08,0.0
2011,2,21,44.02,2.56,21.25,101.2,0.0
2011,2,22,49.65,2.64,20.82,100.97,0.0
2011,2,23,71.87,2.85,21.55,100.92,0.0
2011,2,24,73.23,2.41,22.1,100.83,0.0
2011,2,25,75.32,3.31,22.09,100.6,0.0
2011,2,26,52.1,2.31,22.4,100.73,0.0
2011,2,27,37.23,1.94,22.38,101.01,0.0
2011,2,28,41.39,2.98,22.5,100.94,0.0
2011,3,1,50.18,2.38,22.99,100.77,0.08
2011,3,2,53.22,2.86,22.16,100.65,0.08
2011,3,3,58.0,2.89,21.95,100.59,0.66
2011,3,4,60.97,2.41,22.1,100.59,0.01
2011,3,5,67.48,2.33,22.33,100.73,0.04
2011,3,6,57.69,2.23,23.48,100.95,0.0
2011,3,7,51.1,2.76,23.77,101.11,0.0
2011,3,8,54.77,3.27,24.01,100.82,0.0
2011,3,9,38.5,2.7,22.56,100.68,0.0
2011,3,10,47.37,1.6,23.37,100.84,0.0
2011,3,11,48.28,2.15,23.49,100.85,0.0
2011,3,12,48.42,2.43,24.19,100.7,0.0
2011,3,13,67.87,2.64,24.59,100.64,0.0
2011,3,14,72.99,2.94,24.87,100.5,0.0
2011,3,15,66.37,1.66,26.33,100.43,0.0
2011,3,16,55.7,2.07,27.55,100.38,0.0
2011,3,17,56.72,2.85,27.15,100.29,0.0
2011,3,18,67.41,3.43,25.49,100.16,0.0
2011,3,19,64.75,4.32,26.25,99.97,0.0
2011,3,20,42.06,3.17,25.16,100.04,0.0
2011,3,21,63.13,2.43,24.52,100.22,0.0
2011,3,22,69.18,3.69,24.85,100.27,0.0
2011,3,23,72.46,2.85,25.28,100.34,0.0
2011,3,24,69.25,3.31,25.75,100.49,0.0
2011,3,25,66.91,3.36,25.64,100.56,0.0
2011,3,26,70.17,3.59,25.76,100.59,0.0
2011,3,27,73.35,3.84,26.01,100.47,0.0
2011,3,28,73.63,4.38,25.84,100.28,0.0
2011,3,29,70.25,4.2,25.52,100.36,0.0
2011,3,30,72.21,3.93,24.67,100.53,0.0
2011,3,31,75.9,3.85,24.69,100.49,0.0
2011,4,1,58.51,3.48,26.99,100.33,0.0
2011,4,2,38.62,2.8,26.24,100.38,0.0
2011,4,3,31.16,2.22,26.44,100.52,0.0
2011,4,4,53.44,2.41,25.74,100.58,0.0
2011,4,5,59.43,2.58,26.59,100.51,0.0
2011,4,6,69.24,3.06,26.13,100.47,0.0
2011,4,7,61.42,2.29,27.49,100.51,0.0
2011,4,8,59.46,2.63,27.38,100.58,0.0
2011,4,9,65.8,4.01,26.49,100.57,0.0
2011,4,10,74.49,4.11,25.83,100.54,0.0
2011,4,11,78.58,3.17,25.28,100.57,0.01
2011,4,12,69.5,2.56,26.7,100.56,0.08
2011,4,13,70.0,3.2,27.14,100.48,0.05
2011,4,14,71.75,3.31,27.99,100.33,0.01
2011,4,15,68.57,2.85,28.73,100.12,0.02
2011,4,16,63.82,3.74,29.63,100.14,0.0
2011,4,17,52.51,3.15,28.36,100.38,0.0
2011,4,18,61.32,3.04,28.32,100.23,0.0
2011,4,19,63.97,3.01,28.09,100.14,0.0
2011,4,20,57.4,2.7,28.21,100.18,0.0
2011,4,21,62.25,2.51,28.01,100.3,0.0
2011,4,22,62.04,3.19,28.24,100.24,0.0
2011,4,23,65.42,3.62,27.83,100.14,0.0
2011,4,24,66.69,4.0,27.69,100.14,0.0
2011,4,25,69.28,4.22,27.52,100.19,0.0
2011,4,26,66.08,4.16,27.89,100.22,0.0
2011,4,27,70.64,4.4,27.27,100.2,0.0
2011,4,28,72.38,5.12,27.62,100.01,0.0
2011,4,29,73.31,5.65,27.81,100.02,0.69
2011,4,30,75.7,4.5,27.42,100.1,0.79
2011,5,1,74.42,4.67,28.49,100.17,0.02
2011,5,2,72.22,5.94,28.32,100.02,0.02
2011,5,3,76.42,6.02,28.34,99.87,0.0
2011,5,4,78.06,5.58,28.33,99.91,0.0
2011,5,5,74.23,5.04,27.74,99.93,0.0
2011,5,6,69.27,3.38,28.99,99.85,0.0
